URL,ID,Title,Price,Sale,SalePrice,Description,Material,Usages,Note,Color,Size,Category,Images,is_deleted
https://www.coolmate.me/product/pack-3-ao-ba-lo-nam-basics-mac-nha-thoang-mat,SP0001,Combo 3 Áo ba lỗ 100% Cotton,249.000đ,-16%,209.000đ,Mặc nhà - Thoáng mát,100% Cotton,Mặc trong hoặc mặc nhà,Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô," Mix màu,  Đen,  Trắng,  Xanh Navy","S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/September2025/pack-3-ao-ba-lo-nam-basics-mac-nha-thoang-mat-mix-mau-1.jpg?aio=w-270, https://n7media.coolmate.me/uploads/September2025/pack-3-ao-ba-lo-nam-basics-mac-nha-thoang-mat-mix-mau-2.jpg?aio=w-270, https://n7media.coolmate.me/uploads/September2025/pack-3-ao-ba-lo-nam-basics-mac-nha-thoang-mat-mix-mau-3.jpg?aio=w-270, https://n7media.coolmate.me/uploads/September2025/pack-3-ao-ba-lo-nam-basics-mac-nha-thoang-mat-mix-mau-4.jpg?aio=w-270, https://n7media.coolmate.me/uploads/September2025/pack-3-ao-ba-lo-nam-basics-mac-nha-thoang-mat-mix-mau-5.jpg?aio=w-270, https://n7media.coolmate.me/uploads/September2025/pack-3-ao-ba-lo-nam-basics-mac-nha-thoang-mat-mix-mau-6.jpg?aio=w-270",0
https://www.coolmate.me/product/tank-top-chay-bo-nam-graphic-energy,TTA339,Tanktop chạy bộ nam Graphic Energy,249.000đ,-21%,199.000đ,ExDry - Thoáng khí,100% Polyester,Chạy bộ và thể thao,Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô," Đỏ,  Xanh","S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/August2025/tanktop-chay-bo-nam-graphic-energy-1-17-do_79.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/tanktop-chay-bo-nam-graphic-energy-1-18-do_40.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/tanktop-chay-bo-nam-graphic-energy-1-19-do.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/tanktop-chay-bo-nam-graphic-energy-85-do.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/tanktop-chay-bo-nam-graphic-energy-ss-do.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/tanktop-chay-bo-nam-graphic-energy-69-do.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/tanktop-chay-bo-nam-graphic-energy-75-do.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/tanktop-chay-bo-nam-graphic-energy-1089_1-do.jpg?aio=w-270",0
https://www.coolmate.me/product/ao-tank-top-phoi-mau-the-thao-tu-hao-viet-nam,25CM.MAWCS.TTA435,"Áo tanktop phối màu thể thao ""Tự hào Việt Nam""",349.000đ,-40%,199.000đ,ExDry - Thoáng khí,100% Polyester,Tập luyện thể thao và mặc thường ngày,Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô, Trắng,"S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/August2025/ao-tank-top-the-thao-phoi-mau-the-thao-tu-hao-viet-nam-_3-1-trang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-tank-top-the-thao-phoi-mau-the-thao-tu-hao-viet-nam-_4-1-trang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-tank-top-phoi-mau-the-thao-tu-hao-viet-nam-130-trang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-tank-top-phoi-mau-the-thao-tu-hao-viet-nam-119-trang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-tank-top-phoi-mau-the-thao-tu-hao-viet-nam-123-trang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-tank-top-phoi-mau-the-thao-tu-hao-viet-nam-121-trang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-tank-top-phoi-mau-the-thao-tu-hao-viet-nam-126-trang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-tank-top-phoi-mau-the-thao-tu-hao-viet-nam-148-trang.jpg?aio=w-270",0
https://www.coolmate.me/product/singlet-chay-bo-nam-viet-nam-tien-buoc,25CM.MAWRU.TTA484,"Áo singlet chạy bộ nam ""Việt Nam tiến bước""",349.000đ,-45%,199.000đ,ExDry - Thoáng khí,100% Polyester,"Chạy bộ, leo núi, chạy trail",Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô, Đỏ,"S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/August2025/ao-singlet-chay-bo-nam-viet-nam-tien-buoc-18-do_76.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-singlet-chay-bo-nam-viet-nam-tien-buoc-19-do_56.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-singlet-chay-bo-nam-viet-nam-tien-buoc-843-do_60.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-singlet-chay-bo-nam-viet-nam-tien-buoc-861-do_71.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-singlet-chay-bo-nam-viet-nam-tien-buoc-850-do_100.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-singlet-chay-bo-nam-viet-nam-tien-buoc-855-do_27.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-singlet-chay-bo-nam-viet-nam-tien-buoc-857-do_55.jpg?aio=w-270, https://n7media.coolmate.me/uploads/August2025/ao-singlet-chay-bo-nam-viet-nam-tien-buoc-880-do_62.jpg?aio=w-270",0
https://www.coolmate.me/product/tank-top-chay-bo-nam-gradient,TTA327,Tanktop chạy bộ nam Gradient,,Giảm 30K,199.000đ,ExDry - Thoáng khí,100% Polyester,Chạy bộ và thể thao,Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô, Trắng - Cam,"S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/July2025/tank-top-chay-bo-gradient-_1-trang-cam.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/tank-top-chay-bo-gradient-_2-trang-cam.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/tank-top-chay-bo-gradient-0141-trang-cam.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/tank-top-chay-bo-gradient-0125-trang-cam.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/tank-top-chay-bo-gradient-0143-trang-cam.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/tank-top-chay-bo-gradient-0134-trang-cam.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/tank-top-chay-bo-gradient-0154-trang-cam.jpg?aio=w-270",0
https://www.coolmate.me/product/singlet-chay-bo-airush-gradient,TTA234,Singlet chạy bộ AirRush Gradient,,Giảm 30K,189.000đ,ExDry - Thoáng khí,100% Polyester,"Chạy bộ, leo núi, chạy trail",Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô," Đen,  Trắng,  Đen,  Trắng","S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/June2025/singlet-chay-bo-airush-gradient-_1-den-cut.jpg?aio=w-270, https://n7media.coolmate.me/uploads/June2025/singlet-chay-bo-airush-gradient-_2-den-cut.jpg?aio=w-270, https://n7media.coolmate.me/uploads/June2025/singlet-chay-bo-airush-gradient-451-den.jpg?aio=w-270, https://n7media.coolmate.me/uploads/June2025/singlet-chay-bo-airush-gradient-422-den.jpg?aio=w-270, https://n7media.coolmate.me/uploads/June2025/singlet-chay-bo-airush-gradient-437-den.jpg?aio=w-270, https://n7media.coolmate.me/uploads/June2025/singlet-chay-bo-airush-gradient-435-den.jpg?aio=w-270, https://n7media.coolmate.me/uploads/June2025/singlet-chay-bo-airush-gradient-429-den.jpg?aio=w-270, https://n7media.coolmate.me/uploads/June2025/singlet-chay-bo-airush-gradient-454-den.jpg?aio=w-270",0
https://www.coolmate.me/product/ao-tank-top-nam-mac-trong-antismell,TTA229,Áo Tanktop Nam Mặc Trong Antismell,99.000đ,Giảm 30K,89.000đ,ExDry - Thoáng khí,95% Cotton 5% Spandex,"Mặc trong áo sơ mi hoặc vest Sử dụng khi vận động, chơi thể thao hoặc mặc ở nhà",Giặt máy nhẹ - Sấy ở mức nhiệt thấp Không dùng chất tẩy - Không giặt khô," Đen,  Đen","S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/June2025/ao-tanktop-nam-mac-trong-antismell-1-3-den_53.jpg?aio=w-270, https://n7media.coolmate.me/uploads/June2025/ao-tanktop-nam-mac-trong-antismell-1-4-den_8.jpg?aio=w-270, https://n7media.coolmate.me/uploads/May2025/Ao-tanktop-nam-mac-trong-anti-smell-Den_3.jpg?aio=w-270, https://n7media.coolmate.me/uploads/May2025/Ao-tanktop-nam-mac-trong-anti-smell-Den_2.jpg?aio=w-270",0
https://www.coolmate.me/product/ao-singlet-chay-bo-advanced-vent-tech-graphic-camo,TTZ963,Áo Singlet chạy bộ Advanced Vent Tech Graphic Camo,,Giảm 30K,219.000đ,ExDry - Thoáng khí,Mặt trước: 100% PolyesterMặt sau: 90% Polyester 10% Spandex,Hoạt động chạy bộ và tập luyện thể thao chung,Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô," Nâu đỏ,  Ghi xám,  Xanh biển","S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-camo-448do-nau_74.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-camo-412do-nau_50.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-camo-446do-nau.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-camo-462do-nau.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-camo-454do-nau.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-camo-452do-nau.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-camo-457do-nau.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-camo-414do-nau.jpg?aio=w-270",0
https://www.coolmate.me/product/ao-singlet-chay-bo-advanced-vent-tech-graphic-pixel,TTZ962,Áo Singlet chạy bộ Advanced Vent Tech Graphic Pixel,,Giảm 30K,219.000đ,ExDry - Thoáng khí,Mặt trước: 100% PolyesterMặt sau: 90% Polyester 10% Spandex,Hoạt động chạy bộ và tập luyện thể thao chung,Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô, Xanh Blue,"S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-pixel-360-vang_60.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-pixel-379-vang_87.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-pixel-380-vang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-pixel-375-vang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-pixel-366-vang.jpg?aio=w-270, https://n7media.coolmate.me/uploads/April2025/ao-singlet-chay-bo-advanced-vent-techgraphic-pixel-377-vang.jpg?aio=w-270",0
https://www.coolmate.me/product/ao-singlet-nam-chay-bo-in-graphic-dot,SP0001,Áo Singlet Chạy Bộ Graphic Dot,,Giảm 30K,189.000đ,ExDry - Thoáng khí,Mặt trước: 100% PolyesterMặt sau: 90% Polyester 10% Spandex,Hoạt động chạy bộ và tập luyện thể thao chung,Giặt máy nhẹ - Sấy ở mức nhiệt thấpKhông dùng chất tẩy - Không giặt khô," Đỏ,  Vàng,  Xanh ngọc","S,M,L,XL,2XL,3XL",ÁO BA LỖ NAM,"https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-1.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-2.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-3.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-8.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-5.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-6.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-7.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-4.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-9.jpg?aio=w-270, https://n7media.coolmate.me/uploads/July2025/ao-singlet-nam-chay-bo-in-graphic-dot-do-10.jpg?aio=w-270",0
